,Rcyl,age,cfe,ch,feh,intercept,mass,mgh,ofe,oh,phi,vRcyl,vphi,vz,z
0,,,,,,-1.5315143829381164,,,,,,,,,
1,,,-1.439697280267049,,,-1.0838098991221967,,,,,,,,,
2,,,-1.431784437866669,,,-1.0868391049906387,,,,,,,,-0.0005441098418882467,
3,,,-1.4218488467683927,,,-1.0912885232350455,,,,,,,,-0.0005382420264281395,0.1652200862516162
4,,,,,,-3.363746789614042,,-10.392360755005738,,9.513717237754525,,,,-0.0005797161024491641,0.1830579464016673
5,,,,,,-3.3563088145080604,,-10.34786565413678,,9.474043678407273,,-0.00016209394376078372,,-0.0005777007569039245,0.18394409032665546
6,,,,,,-3.5349876190531897,7.277263464086127e-05,-9.035937766673472,,8.095829376884243,,-0.00016309187096412976,,-0.0005783277418791666,0.17999471451637017
7,,,,,,-3.686585608428362,7.331742776895871e-05,-8.990932885835226,,8.048393909486396,0.0008468000581683582,-0.0001642671051847294,,-0.0005895732089268416,0.1743773954740204
8,,,-61.24781148124116,56.69112412845567,-56.38359974667707,-0.9592348520250167,0.00011711698730847436,,,,0.0008518412402530565,-0.00022963734230151071,,-0.0005551871331727936,0.1567852909873702
9,,,-51.20244292532902,46.59198201931053,-56.47082939861023,-3.757933803629997,0.00013107013733065182,11.416093671936268,,,0.0008890548239495247,-0.0002650899476435144,,-0.0005507468246779323,0.14787844408051232
10,,,-65.25262363361237,61.87179399169281,-72.37214924569675,-4.902688785075515,0.0001115689616355131,11.049213001812168,,,0.0011122795552232247,-0.00025241894504085766,0.004693215605407879,-0.00047890785364107605,0.11869486329584461
11,,,-51.65122277090931,36.107398176160046,0.23872822350303236,-10.750962106008316,7.102889817740361e-05,-9.470002645769716,60.44372162495376,-25.02803575718735,0.000893821508739635,-0.00023378216779209614,,-0.0005969706711823255,0.15315440455750035
12,,,-70.13884062816277,55.6271331493378,-3.651970178352073,-11.269743039220822,5.93055628356802e-05,-7.7825564031807035,76.22485451860794,-43.114877884027386,0.0010713108891518446,-0.0002525674374216475,0.004403149627271429,-0.0005092464604361339,0.12461039155087553
13,0.46918665718046715,,-49.90868657043921,42.88612575071407,57.978982551318325,-6.5545534741979505,-1.3855114484208657e-05,5.3711707843847,113.80644909621454,-105.8997972515619,0.00089067723355903,-0.00026037948941116853,0.0037567885603385213,-0.000872041562590418,0.07464979750478973
14,0.38843658239474477,-0.4370585874149722,-49.8125075193231,40.30690300051421,46.392849306708975,-0.695007720104209,-1.748596565855231e-05,24.155978409121335,103.40557949730746,-112.15813989076078,0.0007749001155893049,-0.0002362370101246929,0.002922117897823374,-0.000858133940466246,0.08379576028686589
