z,vz,Rcyl,phi,vRcyl,vphi,age,mass,feh,oh,ch,mgh,ofe,cfe,mgfe,IsMigratorInt
-0.376,24.287,5.971,32.202,-42.465,181.036,4.152,5723.936,-0.082,0.376,0.232,0.176,0.458,0.314,0.258,0
-0.018,-46.82,1.151,99.759,114.386,209.974,0.596,6058.92,0.282,0.732,0.682,0.466,0.45,0.4,0.185,0
0.054,-7.926,0.324,162.523,-115.362,104.763,1.662,4689.692,0.286,0.749,0.714,0.478,0.464,0.428,0.193,0
0.314,32.501,3.913,22.341,-130.584,212.712,2.779,7522.867,0.018,0.476,0.356,0.255,0.458,0.338,0.237,0
0.018,186.329,0.63,172.712,-42.575,19.266,8.398,4740.549,-0.517,-0.061,-0.212,-0.222,0.455,0.305,0.295,0
0.276,66.812,8.844,221.581,-9.638,193.91,5.166,5672.968,-0.135,0.322,0.153,0.136,0.457,0.288,0.271,1
-0.059,-157.636,8.829,67.069,39.581,-33.667,11.54,5198.435,-1.484,-0.967,-1.31,-1.142,0.516,0.174,0.342,1
-0.013,-50.263,0.898,139.195,3.559,248.571,3.814,11436.614,0.151,0.591,0.509,0.361,0.44,0.359,0.21,0
0.193,-18.484,1.318,308.341,12.663,-96.008,8.86,5230.133,-0.516,-0.029,-0.253,-0.192,0.487,0.264,0.324,0
-0.374,-154.697,0.721,188.013,80.742,285.104,3.568,9563.032,0.106,0.57,0.451,0.347,0.463,0.344,0.241,0
0.419,19.679,4.47,282.496,31.854,285.07,1.235,7085.071,0.109,0.583,0.492,0.338,0.473,0.383,0.229,0
0.023,-282.854,0.422,96.627,-206.065,179.936,1.849,4889.296,0.172,0.637,0.556,0.389,0.465,0.384,0.216,0
-0.159,-183.569,1.033,25.802,-161.598,66.801,10.029,4799.111,-0.79,-0.33,-0.61,-0.497,0.46,0.179,0.292,0
0.098,-10.568,2.814,326.516,-30.938,253.214,0.029,9385.98,0.241,0.695,0.647,0.428,0.453,0.405,0.187,0
-0.047,-8.344,4.487,127.682,62.44,178.71,7.11,4559.582,-0.291,0.171,0.007,0.004,0.462,0.298,0.295,0
0.014,143.691,0.257,171.046,-3.99,87.66,8.767,4561.353,-0.508,-0.07,-0.249,-0.23,0.438,0.259,0.278,0
-0.067,157.023,0.632,224.196,383.818,89.739,8.212,6148.93,-0.525,-0.066,-0.258,-0.228,0.459,0.266,0.297,0
-0.212,177.776,1.141,146.327,-72.578,126.771,4.161,6090.016,0.024,0.483,0.37,0.267,0.458,0.346,0.243,0
-0.289,1.113,4.656,167.654,-35.622,207.641,5.796,4602.055,-0.273,0.172,-0.0,-0.004,0.445,0.273,0.269,0
-0.092,-15.087,7.26,284.878,31.889,242.444,4.056,4444.656,-0.075,0.376,0.236,0.175,0.451,0.312,0.251,0
0.39,75.939,0.611,44.524,83.977,-35.418,9.814,4413.976,-0.675,-0.227,-0.466,-0.392,0.448,0.21,0.284,0
0.096,25.239,0.658,153.393,113.321,15.55,6.996,5194.941,-0.205,0.17,0.12,0.005,0.376,0.326,0.21,0
0.186,97.675,1.031,238.424,-36.265,235.798,5.704,7055.043,-0.125,0.295,0.187,0.11,0.42,0.312,0.235,0
-0.132,-29.207,2.07,284.686,104.325,-15.518,9.117,5267.773,-0.53,-0.036,-0.281,-0.2,0.494,0.25,0.331,0
-0.027,-140.996,0.455,140.247,44.92,22.555,3.892,6055.853,0.196,0.609,0.578,0.365,0.412,0.381,0.168,0
-0.432,311.603,0.873,295.707,-34.334,199.604,6.437,5226.897,-0.27,0.171,0.017,-0.0,0.441,0.287,0.27,0
-0.434,-145.425,0.548,65.767,80.746,170.207,8.593,5272.764,-0.625,-0.146,-0.394,-0.311,0.478,0.23,0.314,0
-0.492,58.018,0.641,206.451,159.511,164.083,7.788,5454.589,-0.365,0.069,-0.066,-0.091,0.434,0.299,0.274,0
-0.437,-90.245,5.443,254.367,125.245,269.381,1.345,7724.387,0.029,0.494,0.368,0.266,0.465,0.339,0.237,0
-0.291,-150.434,0.126,184.662,186.19,280.193,5.448,6515.082,-0.124,0.338,0.198,0.148,0.462,0.323,0.273,0
0.276,169.544,0.215,74.948,115.63,224.998,7.422,4577.461,-0.343,0.102,-0.062,-0.062,0.444,0.28,0.281,0
-0.311,-19.805,0.524,171.728,-10.913,162.061,4.306,6925.807,0.114,0.536,0.447,0.314,0.422,0.333,0.2,0
-0.355,-111.63,1.698,239.079,159.631,244.548,4.844,6809.375,-0.017,0.423,0.283,0.226,0.44,0.3,0.243,0
0.468,3.042,1.165,268.905,14.045,161.264,8.989,5393.908,-0.526,-0.084,-0.264,-0.245,0.442,0.262,0.281,0
0.283,38.799,5.029,302.028,-0.148,225.07,6.748,5825.385,-0.349,0.085,-0.08,-0.082,0.434,0.269,0.267,1
-0.108,191.947,1.463,313.007,50.477,-29.676,8.003,4840.949,-0.501,-0.05,-0.242,-0.212,0.451,0.259,0.29,0
-0.178,-89.057,0.418,19.376,187.058,37.19,7.696,4763.139,-0.417,0.028,-0.118,-0.134,0.445,0.299,0.283,0
-0.039,101.651,1.549,358.762,27.542,279.54,5.3,5232.439,-0.185,0.269,0.098,0.086,0.453,0.282,0.27,0
-0.016,-98.672,3.284,295.242,130.384,304.318,1.12,7464.037,0.061,0.536,0.426,0.3,0.474,0.365,0.238,1
0.198,179.634,0.165,335.916,57.697,-269.392,6.19,4999.046,-0.139,0.314,0.178,0.135,0.452,0.317,0.273,0
-0.492,29.736,0.569,121.195,30.396,-129.741,10.935,4540.189,-0.902,-0.415,-0.696,-0.585,0.487,0.206,0.317,0
-0.004,236.986,0.602,287.936,-76.835,176.489,8.011,5268.544,-0.427,-0.108,-0.24,-0.269,0.318,0.187,0.158,0
0.125,-91.937,0.606,30.563,-83.807,233.343,5.155,4496.067,-0.032,0.423,0.291,0.226,0.455,0.323,0.258,0
-0.32,66.837,3.202,110.362,34.252,269.132,2.641,4951.503,0.093,0.548,0.445,0.316,0.455,0.351,0.223,0
0.291,-111.369,1.127,80.629,49.406,379.753,8.659,4935.263,-0.574,-0.092,-0.361,-0.257,0.483,0.213,0.317,0
0.232,94.648,0.139,283.384,-76.44,-334.855,7.434,5717.973,-0.271,0.153,0.033,-0.011,0.424,0.304,0.26,0
0.456,-216.607,0.3,337.66,-28.725,178.156,10.793,4362.722,-0.93,-0.458,-0.72,-0.629,0.471,0.21,0.301,0
-0.395,-56.253,0.573,89.372,-185.572,-41.658,7.988,5681.108,-0.442,0.001,-0.183,-0.161,0.443,0.259,0.281,0
-0.369,-68.23,3.214,314.174,9.613,30.277,9.856,4394.103,-0.631,-0.151,-0.38,-0.315,0.479,0.251,0.316,0
0.091,76.843,0.341,22.132,119.151,151.344,3.275,5053.354,0.192,0.632,0.55,0.394,0.44,0.358,0.202,0
-0.19,-18.625,3.333,342.247,11.028,267.786,1.463,8206.125,0.119,0.587,0.492,0.344,0.468,0.373,0.226,0
