z,vz,Rcyl,phi,vRcyl,vphi,age,mass,feh,oh,ch,mgh,ofe,cfe,mgfe,IsMigratorInt
-0.299,51.494,0.888,330.194,8.682,-118.028,8.884,5147.524,-0.523,-0.079,-0.276,-0.242,0.444,0.247,0.282,0
0.377,-114.842,0.563,89.103,6.075,-101.802,9.285,6101.858,-0.468,-0.016,-0.216,-0.178,0.453,0.252,0.291,0
0.168,25.516,3.292,251.324,-269.383,190.731,2.697,8190.851,0.045,0.513,0.405,0.285,0.469,0.36,0.24,1
-0.368,204.23,1.636,46.212,-45.839,156.385,6.08,4745.007,-0.304,0.147,-0.023,-0.027,0.451,0.281,0.277,0
0.074,-19.596,2.433,334.882,-93.762,110.986,6.104,4711.207,-0.29,0.17,-0.004,-0.005,0.46,0.286,0.285,0
0.09,-16.81,0.918,177.801,83.046,275.347,1.221,6940.129,0.248,0.697,0.638,0.438,0.449,0.39,0.19,0
-0.028,-47.217,0.109,215.667,-69.993,-241.723,1.285,6105.724,0.294,0.743,0.699,0.477,0.449,0.406,0.183,0
0.067,34.062,2.348,274.846,70.076,263.135,0.835,11267.816,0.234,0.687,0.63,0.426,0.453,0.396,0.192,1
-0.23,-118.334,6.119,23.367,-8.677,108.247,5.574,5178.32,-0.168,0.277,0.115,0.097,0.446,0.283,0.265,1
-0.087,18.908,0.805,266.112,55.248,77.594,6.311,7454.56,-0.161,0.249,0.131,0.072,0.41,0.292,0.232,0
0.024,-7.224,2.55,148.152,-12.512,268.163,3.206,8318.182,0.1,0.553,0.449,0.326,0.454,0.35,0.226,0
-0.409,31.125,0.5,55.86,114.485,-96.61,8.624,5302.141,-0.484,-0.047,-0.172,-0.205,0.436,0.312,0.279,0
-0.364,-39.302,6.343,324.45,-63.731,226.451,1.265,5411.448,0.077,0.545,0.435,0.309,0.468,0.358,0.232,1
0.253,34.38,1.229,245.337,175.429,157.815,7.102,5419.259,-0.325,0.13,-0.025,-0.036,0.455,0.3,0.288,0
0.242,-307.042,0.389,26.93,126.905,86.403,7.781,6428.372,-0.413,0.026,-0.142,-0.135,0.439,0.271,0.278,0
-0.102,1.782,1.346,107.073,-11.342,268.032,0.997,5999.207,0.226,0.68,0.619,0.421,0.454,0.393,0.195,0
-0.312,2.193,7.175,324.902,-58.451,255.879,1.374,8012.197,0.016,0.483,0.359,0.256,0.467,0.343,0.239,1
0.296,-220.431,0.533,32.373,-297.838,266.11,9.574,4962.927,-0.558,-0.09,-0.302,-0.252,0.467,0.256,0.305,1
0.239,-17.514,1.195,124.226,-114.242,207.166,8.961,4896.478,-0.463,0.018,-0.229,-0.148,0.481,0.235,0.315,0
-0.029,83.92,3.129,356.903,87.536,239.762,2.29,6715.224,0.099,0.572,0.48,0.331,0.473,0.381,0.232,0
-0.219,-27.188,2.459,111.165,-11.104,181.824,6.433,5186.781,-0.219,0.242,0.096,0.069,0.461,0.315,0.288,0
0.297,53.584,5.816,258.264,15.844,118.014,2.778,7518.362,0.001,0.459,0.337,0.24,0.458,0.337,0.239,0
-0.047,-11.432,0.475,146.351,-112.229,78.75,3.395,7443.227,0.209,0.623,0.567,0.382,0.415,0.359,0.173,0
-0.124,-12.771,2.618,357.624,-88.579,378.248,3.595,7678.288,-0.082,0.377,0.233,0.174,0.459,0.315,0.256,1
0.157,-12.704,0.772,346.302,91.822,238.713,4.806,7103.836,0.124,0.564,0.474,0.346,0.44,0.35,0.222,0
0.172,25.005,0.451,228.587,-55.316,69.001,5.126,8233.343,0.073,0.502,0.404,0.297,0.43,0.331,0.224,0
-0.22,-25.11,0.26,295.948,-61.56,-27.292,6.405,5576.834,-0.162,0.287,0.138,0.11,0.449,0.3,0.273,0
-0.12,6.232,1.533,291.03,47.784,218.171,1.126,9296.749,0.219,0.678,0.619,0.419,0.46,0.4,0.2,0
-0.109,111.649,1.476,295.917,-46.425,-152.471,9.699,4631.107,-0.576,-0.126,-0.342,-0.289,0.45,0.234,0.287,0
0.168,29.69,6.328,169.654,-83.02,323.096,5.513,5760.583,-0.33,0.11,-0.067,-0.066,0.439,0.263,0.264,0
0.393,48.894,2.031,247.832,-42.23,-191.811,9.43,5037.794,-0.558,-0.078,-0.326,-0.242,0.48,0.232,0.316,0
-0.016,-73.215,7.906,314.336,-35.419,219.787,2.991,6591.105,-0.105,0.353,0.218,0.144,0.458,0.323,0.249,1
-0.133,-250.662,0.22,160.45,42.455,-374.049,8.367,6161.125,-0.496,-0.019,-0.197,-0.18,0.477,0.298,0.316,1
0.023,12.179,3.368,1.886,135.817,210.944,1.649,8204.657,0.148,0.617,0.526,0.373,0.469,0.378,0.224,0
0.077,111.102,0.596,20.698,227.623,280.137,3.472,7311.181,0.085,0.531,0.426,0.307,0.446,0.341,0.222,0
-0.411,-40.124,0.513,278.183,-13.335,-69.594,5.474,6733.948,-0.067,0.349,0.23,0.16,0.417,0.297,0.227,0
0.404,104.462,0.692,106.02,88.103,-46.855,8.078,4906.455,-0.522,-0.083,-0.231,-0.243,0.439,0.29,0.279,0
-0.161,19.833,2.172,112.676,-68.997,90.598,6.03,6724.54,-0.215,0.233,0.069,0.057,0.448,0.284,0.272,0
0.103,18.381,3.171,71.866,-35.734,275.233,0.627,10148.277,0.19,0.654,0.586,0.398,0.464,0.396,0.208,0
0.091,23.266,5.428,220.965,82.769,-68.84,7.98,5009.029,-0.484,-0.008,-0.211,-0.17,0.476,0.272,0.313,1
0.018,-78.561,0.915,116.525,63.437,-71.863,6.971,6020.224,-0.224,0.221,0.108,0.051,0.445,0.331,0.275,0
0.286,-0.1,2.206,262.077,17.927,204.973,3.806,5255.24,0.001,0.455,0.326,0.244,0.454,0.326,0.244,0
0.094,-143.224,1.58,77.69,65.227,251.765,5.694,5002.603,-0.175,0.267,0.112,0.087,0.443,0.288,0.263,0
-0.036,-11.281,2.302,97.324,123.751,198.165,0.311,7340.65,0.275,0.723,0.677,0.456,0.449,0.402,0.181,0
-0.138,-159.979,0.551,119.689,107.172,229.573,9.288,5097.343,-0.449,0.016,-0.176,-0.145,0.465,0.273,0.304,0
0.081,-181.156,2.05,272.659,-126.201,107.326,5.506,9409.687,-0.161,0.277,0.118,0.097,0.438,0.279,0.258,0
-0.186,34.846,6.394,212.722,75.482,152.805,1.697,5252.46,0.053,0.524,0.4,0.295,0.471,0.347,0.242,0
-0.027,-15.543,1.776,356.866,-22.022,165.267,0.817,7671.082,0.253,0.71,0.662,0.444,0.457,0.409,0.191,0
-0.332,46.065,8.329,47.317,-113.581,231.816,2.363,11043.114,-0.022,0.426,0.298,0.209,0.448,0.32,0.231,1
-0.301,-17.47,7.25,233.364,30.131,218.096,2.969,6341.9,-0.145,0.315,0.163,0.113,0.46,0.308,0.258,0
0.055,100.284,0.779,346.21,-65.358,76.393,3.506,11356.936,0.16,0.605,0.522,0.372,0.445,0.362,0.211,0
0.057,-129.12,1.234,154.057,34.447,198.0,4.993,5892.62,-0.018,0.433,0.296,0.235,0.45,0.314,0.252,0
0.045,129.543,1.092,236.633,-85.225,183.179,6.618,4432.907,-0.25,0.196,0.02,0.026,0.446,0.27,0.276,0
-0.274,75.55,1.134,122.81,93.365,162.821,3.225,7406.92,0.143,0.593,0.501,0.36,0.45,0.358,0.217,0
0.481,120.1,0.679,241.026,-105.971,-34.315,7.519,4304.384,-0.298,0.101,-0.023,-0.062,0.399,0.275,0.237,0
-0.017,-61.505,0.584,250.383,-136.466,445.465,3.955,5081.424,-0.001,0.45,0.318,0.241,0.45,0.319,0.242,0
0.426,46.031,0.362,63.02,171.9,-4.163,9.879,4572.94,-0.599,-0.156,-0.339,-0.317,0.444,0.26,0.283,0
-0.114,-58.992,3.356,65.761,113.513,42.821,7.381,5854.185,-0.309,0.14,-0.03,-0.025,0.449,0.278,0.284,0
0.189,-83.093,2.345,61.392,-178.783,202.351,5.677,4882.685,-0.164,0.28,0.129,0.099,0.444,0.294,0.263,0
-0.048,103.933,2.315,218.748,150.31,47.05,3.711,5711.421,-0.001,0.454,0.33,0.242,0.455,0.331,0.243,0
-0.307,-5.601,3.301,159.217,47.349,281.638,1.79,6504.977,0.114,0.58,0.478,0.342,0.467,0.365,0.228,0
-0.444,-114.961,1.951,316.127,129.096,104.514,6.131,4578.506,-0.221,0.227,0.068,0.052,0.449,0.289,0.274,0
-0.383,234.034,2.751,212.601,-52.02,-21.93,9.311,4995.133,-0.564,-0.088,-0.338,-0.252,0.476,0.226,0.312,1
-0.217,23.464,5.442,263.062,-49.113,135.902,5.51,4590.076,-0.23,0.215,0.045,0.037,0.445,0.275,0.267,0
-0.242,17.994,2.578,43.74,83.849,200.891,1.365,11569.241,0.219,0.661,0.581,0.411,0.442,0.362,0.192,0
-0.187,-61.716,0.533,83.038,139.658,218.853,2.763,6519.405,0.144,0.594,0.498,0.359,0.45,0.354,0.216,0
0.395,-14.35,2.563,327.728,-214.43,233.489,2.512,7507.735,0.005,0.469,0.34,0.249,0.464,0.335,0.244,1
0.192,-22.914,1.622,261.415,-226.789,299.463,6.204,6664.76,-0.26,0.192,0.023,0.019,0.452,0.283,0.279,0
-0.387,94.375,0.695,112.165,-42.649,15.745,6.794,7057.32,-0.244,0.199,0.022,0.029,0.443,0.266,0.273,0
0.073,-85.341,0.648,301.12,-21.273,118.17,5.934,4567.722,-0.098,0.365,0.211,0.182,0.463,0.309,0.28,0
-0.02,-37.981,1.016,212.886,147.994,303.096,2.869,6409.476,0.096,0.554,0.447,0.326,0.459,0.352,0.23,0
-0.298,-35.889,8.186,181.148,-36.1,196.515,0.88,9767.04,0.118,0.588,0.486,0.346,0.47,0.368,0.228,0
-0.002,157.994,5.019,2.798,-212.398,182.219,3.564,5153.719,-0.096,0.358,0.218,0.155,0.454,0.314,0.251,1
0.062,-56.736,4.077,53.499,-113.338,201.882,7.04,7490.273,-0.312,0.12,-0.053,-0.046,0.432,0.259,0.266,1
0.122,132.592,0.057,75.059,216.574,182.622,7.609,4811.223,-0.37,0.028,-0.095,-0.133,0.399,0.276,0.237,0
-0.11,-101.136,0.73,228.048,-241.186,224.847,6.606,5776.304,-0.17,0.255,0.116,0.083,0.425,0.286,0.253,0
-0.062,27.286,2.507,324.363,77.406,297.356,1.404,5487.322,0.111,0.581,0.487,0.338,0.47,0.376,0.227,1
0.076,76.303,1.01,65.186,66.015,177.685,2.985,4625.104,0.189,0.641,0.571,0.397,0.453,0.382,0.208,0
0.08,99.764,1.047,74.918,-59.943,319.257,3.013,6052.935,0.12,0.566,0.473,0.334,0.446,0.353,0.214,0
0.046,95.38,0.61,72.845,-89.533,125.304,3.775,6779.958,0.227,0.647,0.577,0.412,0.421,0.351,0.185,0
-0.188,10.359,6.022,24.901,-112.42,242.594,0.549,5082.927,0.114,0.582,0.488,0.337,0.468,0.374,0.223,0
-0.305,147.087,1.043,214.239,-385.346,136.365,7.179,4946.059,-0.34,0.121,-0.034,-0.047,0.46,0.305,0.293,1
0.024,-28.831,0.705,156.26,-68.436,277.057,4.878,7536.974,0.071,0.488,0.371,0.282,0.417,0.3,0.211,0
-0.475,-122.719,2.194,237.999,339.856,106.531,6.703,5488.34,-0.361,0.096,-0.079,-0.072,0.457,0.282,0.289,1
-0.446,23.94,7.808,9.789,57.643,237.055,2.769,9605.484,-0.023,0.435,0.31,0.217,0.458,0.333,0.24,1
0.059,49.556,0.253,77.991,228.838,141.848,0.95,10964.542,0.329,0.76,0.728,0.488,0.431,0.399,0.159,0
-0.228,12.56,6.289,259.424,-129.46,252.545,3.282,4915.071,-0.231,0.227,0.065,0.03,0.457,0.296,0.261,1
0.038,-55.16,3.605,17.746,8.499,36.96,9.894,4990.454,-0.803,-0.321,-0.571,-0.486,0.482,0.232,0.317,1
0.268,96.232,4.46,277.811,-166.536,134.864,6.757,5632.379,-0.413,0.038,-0.134,-0.129,0.451,0.279,0.284,0
0.363,-66.634,2.499,97.368,2.127,309.828,4.772,4647.214,-0.161,0.283,0.109,0.098,0.444,0.27,0.259,0
0.129,88.849,0.717,158.677,-17.947,205.127,3.572,4181.434,0.158,0.603,0.512,0.371,0.444,0.354,0.213,0
0.031,-53.798,2.885,45.987,-12.007,228.211,2.99,11581.851,-0.05,0.415,0.266,0.207,0.466,0.316,0.257,0
-0.237,-107.304,0.651,10.701,31.345,54.547,7.801,8358.404,-0.342,0.108,-0.05,-0.053,0.45,0.291,0.288,0
0.011,-48.217,6.186,197.883,35.409,136.852,5.682,5161.822,-0.169,0.284,0.121,0.104,0.454,0.291,0.273,0
0.396,-34.181,3.167,14.849,-316.432,-278.498,10.653,5046.67,-0.901,-0.476,-0.787,-0.647,0.425,0.114,0.254,1
0.285,144.463,1.062,277.333,254.93,-60.994,7.406,5108.333,-0.3,0.148,-0.03,-0.017,0.448,0.27,0.283,0
-0.319,103.323,0.574,258.9,292.807,126.782,7.627,4945.168,-0.312,0.008,-0.078,-0.152,0.321,0.234,0.16,0
-0.147,36.932,3.236,150.453,184.045,-0.735,7.584,5396.861,-0.329,0.107,-0.044,-0.057,0.436,0.285,0.272,0
-0.097,-243.655,0.07,138.503,-81.611,-155.246,5.543,5522.133,0.014,0.463,0.382,0.254,0.449,0.368,0.24,0
-0.203,32.022,4.594,312.326,-149.917,143.959,4.877,7930.272,-0.125,0.322,0.177,0.131,0.447,0.302,0.256,0
-0.308,-10.88,3.506,39.071,-133.053,217.704,0.928,8472.894,0.18,0.639,0.566,0.385,0.459,0.386,0.205,0
0.326,-82.768,0.57,235.929,61.523,116.607,4.798,4757.652,0.066,0.517,0.407,0.305,0.451,0.341,0.239,0
-0.104,159.123,0.686,251.658,19.12,83.668,6.637,5891.918,-0.162,0.258,0.142,0.085,0.42,0.304,0.247,0
0.065,0.708,7.015,240.792,-44.085,318.19,0.812,7778.188,0.062,0.532,0.421,0.296,0.47,0.36,0.234,1
0.124,125.069,0.644,110.367,187.789,220.658,1.828,4781.833,0.196,0.666,0.58,0.416,0.469,0.384,0.22,0
0.104,-16.771,0.369,183.434,57.861,86.935,3.051,6828.796,0.23,0.681,0.617,0.434,0.452,0.387,0.204,0
-0.062,13.232,1.528,157.389,11.163,334.491,1.648,6625.021,0.177,0.642,0.559,0.393,0.464,0.381,0.216,0
0.07,11.293,1.078,104.174,55.253,316.671,5.354,7074.879,-0.088,0.367,0.216,0.178,0.456,0.304,0.267,0
-0.088,38.551,1.306,263.136,12.297,277.453,1.615,7503.837,0.15,0.615,0.527,0.369,0.465,0.377,0.218,0
-0.109,-44.346,6.091,230.011,-165.972,209.056,7.349,4403.109,-0.36,0.1,-0.116,-0.065,0.46,0.245,0.295,1
0.345,45.104,5.184,160.763,-38.407,178.191,3.794,5239.763,-0.109,0.348,0.199,0.149,0.457,0.308,0.258,1
0.143,46.68,7.904,169.393,-149.813,270.462,2.084,5439.144,-0.049,0.415,0.275,0.201,0.464,0.324,0.25,1
0.038,264.643,1.118,358.661,135.963,21.474,11.727,4694.292,-1.522,-0.967,-1.33,-1.142,0.555,0.192,0.38,0
0.105,-16.645,3.423,352.53,-133.563,149.34,2.063,6322.059,0.072,0.537,0.424,0.305,0.465,0.352,0.233,0
-0.006,51.671,5.105,218.164,32.718,168.862,0.88,5762.266,0.163,0.626,0.543,0.376,0.463,0.38,0.213,1
0.302,-139.711,0.975,72.053,325.49,-126.736,8.561,5067.183,-0.467,0.011,-0.179,-0.151,0.477,0.287,0.315,0
-0.154,114.77,0.807,120.452,34.114,261.01,11.005,4905.91,-0.879,-0.381,-0.681,-0.553,0.498,0.198,0.326,0
0.002,98.924,1.432,358.078,223.725,147.388,9.714,5445.562,-0.589,-0.112,-0.356,-0.276,0.477,0.233,0.314,0
0.468,-132.882,2.024,79.111,-113.968,194.786,8.165,5240.929,-0.595,-0.123,-0.333,-0.286,0.472,0.262,0.309,0
-0.022,121.343,1.248,198.971,78.921,320.997,4.192,5059.654,0.058,0.507,0.398,0.291,0.449,0.34,0.233,0
0.011,-18.165,0.25,93.121,233.862,65.409,8.185,5012.941,-0.436,0.008,-0.146,-0.153,0.443,0.29,0.283,0
-0.245,-13.767,5.05,193.454,80.752,347.002,3.793,7804.065,-0.153,0.307,0.144,0.112,0.459,0.296,0.265,0
-0.079,-373.168,0.456,331.449,-18.39,73.057,9.715,6178.869,-0.588,-0.134,-0.354,-0.297,0.454,0.234,0.291,0
-0.404,26.577,8.374,42.025,27.525,256.633,0.251,7425.736,0.12,0.594,0.5,0.347,0.475,0.38,0.228,0
-0.124,-11.032,0.75,77.804,-2.063,192.007,4.839,5522.598,0.049,0.498,0.392,0.287,0.448,0.343,0.238,0
-0.425,-277.769,1.329,116.522,-166.27,166.2,6.135,5264.048,-0.145,0.315,0.176,0.134,0.46,0.32,0.279,0
0.379,17.289,4.454,247.046,-67.121,199.728,1.715,7108.839,0.141,0.61,0.521,0.365,0.469,0.38,0.224,0
-0.302,-99.861,8.715,262.781,142.899,217.23,4.18,4673.601,-0.278,0.173,0.001,-0.013,0.451,0.279,0.265,1
0.01,143.809,0.803,92.955,-65.76,179.603,8.183,4804.049,-0.442,0.022,-0.139,-0.14,0.463,0.303,0.302,0
-0.067,66.878,0.301,266.766,-261.489,253.507,6.029,5866.229,-0.137,0.308,0.185,0.125,0.445,0.322,0.262,0
-0.025,22.401,1.537,266.299,-49.899,337.527,1.068,8074.978,0.239,0.692,0.626,0.435,0.453,0.387,0.196,0
0.132,74.188,0.397,141.53,-156.991,223.408,6.189,6323.565,-0.147,0.296,0.225,0.11,0.443,0.372,0.258,0
0.195,12.666,7.106,29.986,-60.913,207.531,0.221,12853.506,0.164,0.627,0.549,0.374,0.463,0.385,0.209,1
0.145,142.522,0.477,166.473,282.761,-11.311,7.784,6181.099,-0.4,0.015,-0.117,-0.146,0.415,0.283,0.254,0
-0.254,90.586,2.965,81.437,44.801,160.238,2.214,5234.064,0.09,0.555,0.456,0.318,0.465,0.366,0.228,0
0.301,-56.625,0.17,69.754,-5.706,273.49,7.43,6590.847,-0.272,0.153,0.009,-0.012,0.425,0.281,0.26,0
-0.044,77.956,0.649,30.716,-6.758,55.301,3.452,8828.662,0.181,0.619,0.536,0.384,0.438,0.355,0.203,0
-0.379,-131.387,4.662,40.349,147.699,264.701,4.193,5184.735,-0.031,0.42,0.289,0.215,0.451,0.32,0.246,1
-0.335,66.388,5.986,192.008,115.875,61.671,9.08,5122.673,-0.542,-0.076,-0.286,-0.239,0.466,0.256,0.304,1
-0.1,-198.252,0.69,106.134,153.642,341.896,4.854,5004.394,-0.052,0.399,0.26,0.202,0.451,0.312,0.254,0
-0.185,151.389,0.419,28.133,307.712,-13.76,8.858,4729.487,-0.492,-0.022,-0.145,-0.179,0.47,0.347,0.313,0
0.029,43.355,7.31,304.81,93.093,184.628,1.879,6847.974,0.026,0.496,0.37,0.27,0.469,0.343,0.244,0
0.076,53.102,0.498,119.462,55.996,102.973,5.099,9379.637,0.12,0.558,0.497,0.336,0.437,0.377,0.215,0
0.455,105.83,0.79,218.838,297.029,367.211,6.238,7237.76,0.206,0.731,0.388,0.553,0.526,0.182,0.348,1
0.058,-3.844,2.281,291.0,299.477,181.359,11.33,5575.386,-1.035,-0.556,-0.937,-0.73,0.48,0.099,0.306,1
0.047,17.578,5.051,280.775,-54.171,191.32,0.882,7127.517,0.148,0.614,0.529,0.366,0.466,0.381,0.218,0
0.277,-196.548,0.269,23.074,-231.821,144.897,6.707,9258.379,-0.093,0.226,0.162,0.054,0.319,0.255,0.148,0
0.307,82.38,1.053,310.177,200.25,-184.935,9.623,4277.896,-0.615,-0.152,-0.39,-0.316,0.463,0.225,0.299,0
-0.31,-33.21,2.484,333.519,149.27,269.405,2.391,5348.974,0.073,0.532,0.422,0.302,0.459,0.349,0.229,1
0.48,67.572,4.671,211.875,189.279,90.461,9.156,5246.943,-0.348,-0.05,-0.251,-0.214,0.298,0.097,0.135,0
0.415,-164.897,4.064,91.124,129.696,209.937,4.202,6120.386,-0.15,0.307,0.143,0.115,0.457,0.293,0.265,1
0.275,160.859,0.249,317.803,-21.882,196.423,8.858,5703.11,-0.547,-0.093,-0.294,-0.255,0.454,0.254,0.292,0
-0.189,-105.448,3.012,35.436,32.803,164.299,6.13,4886.635,-0.242,0.205,0.055,0.029,0.446,0.297,0.27,0
-0.007,208.605,0.277,32.516,528.332,-8.624,6.684,4540.179,-0.285,0.145,-0.016,-0.024,0.43,0.269,0.261,1
0.468,133.666,0.415,267.169,-146.307,136.47,8.487,5028.184,-0.45,-0.01,-0.193,-0.172,0.44,0.258,0.279,0
-0.327,154.389,7.355,308.391,0.656,353.283,4.761,5025.193,-0.239,0.214,0.041,0.03,0.453,0.279,0.269,1
0.244,55.933,2.438,143.611,221.798,154.788,5.286,7312.79,-0.182,0.265,0.112,0.082,0.448,0.294,0.264,0
0.04,-146.862,0.24,51.183,177.963,44.848,6.906,6218.876,-0.179,0.257,0.15,0.085,0.436,0.328,0.263,0
0.231,10.018,1.171,292.348,-47.248,151.034,2.715,7784.828,0.219,0.659,0.583,0.415,0.44,0.363,0.196,0
0.201,-149.013,0.648,227.944,153.677,32.864,7.09,5266.895,-0.183,0.221,0.134,0.052,0.404,0.317,0.235,0
-0.214,59.281,2.863,304.672,29.353,225.367,4.535,5041.772,-0.089,0.365,0.211,0.169,0.454,0.3,0.258,0
0.214,130.068,1.018,230.017,105.133,234.339,4.844,6199.64,-0.062,0.386,0.245,0.191,0.448,0.307,0.253,0
0.369,63.609,1.791,152.533,59.839,260.293,8.368,5658.92,-0.57,-0.106,-0.317,-0.269,0.464,0.253,0.301,0
-0.182,198.984,3.843,295.323,-50.015,26.726,9.322,4969.113,-0.657,-0.184,-0.418,-0.348,0.473,0.238,0.309,1
0.005,207.918,1.54,98.144,-126.526,115.75,6.715,5500.856,-0.209,0.214,0.055,0.044,0.423,0.264,0.253,0
0.197,-71.391,1.154,49.441,-228.816,304.417,9.964,4566.919,-0.651,-0.215,-0.491,-0.382,0.436,0.16,0.269,0
0.066,59.389,4.174,313.507,46.631,176.388,1.176,6442.902,0.127,0.589,0.499,0.344,0.461,0.372,0.217,0
0.155,-61.009,5.197,250.593,81.06,122.103,4.649,5443.646,-0.185,0.271,0.116,0.083,0.457,0.301,0.268,0
-0.258,56.151,8.345,88.545,81.4,-86.948,11.418,5285.672,-1.143,-0.641,-1.001,-0.815,0.502,0.142,0.328,1
0.445,13.931,0.368,67.644,39.312,73.577,8.073,4845.209,-0.536,-0.064,-0.259,-0.226,0.472,0.277,0.311,0
0.058,-29.985,0.71,104.617,-309.433,-126.638,10.136,5093.125,-0.721,-0.298,-0.469,-0.461,0.422,0.252,0.26,0
0.185,-15.236,8.525,38.945,-2.11,204.294,1.545,11476.471,0.051,0.523,0.398,0.294,0.472,0.347,0.243,0
0.389,49.206,2.232,250.166,113.946,270.181,1.777,6855.335,0.081,0.547,0.43,0.315,0.466,0.349,0.234,0
0.463,-12.169,6.871,195.357,14.851,211.919,1.672,6299.129,0.012,0.483,0.356,0.258,0.472,0.344,0.246,1
0.356,5.452,6.084,23.245,86.654,167.592,3.693,11098.97,0.032,0.488,0.369,0.272,0.456,0.337,0.24,0
0.119,25.45,3.488,260.81,15.66,284.298,2.039,6188.416,0.022,0.485,0.358,0.261,0.463,0.335,0.239,1
0.496,-24.704,0.455,108.112,-6.694,8.916,7.289,6547.818,-0.212,0.156,0.145,-0.007,0.368,0.358,0.206,0
-0.081,-45.377,2.784,103.794,-91.897,177.515,1.589,5524.766,0.136,0.602,0.518,0.355,0.465,0.382,0.218,0
0.083,-61.26,3.012,62.257,-160.162,246.019,5.99,4410.726,-0.249,0.207,0.059,0.031,0.456,0.308,0.28,0
-0.312,229.587,2.074,184.202,-264.014,157.958,5.838,5350.368,-0.153,0.289,0.134,0.109,0.442,0.286,0.261,0
-0.45,13.876,2.469,176.252,142.638,171.731,4.669,6030.119,-0.077,0.377,0.245,0.179,0.454,0.323,0.256,0
-0.072,-21.255,1.459,176.604,194.04,-32.601,8.884,5361.629,-0.557,-0.102,-0.308,-0.265,0.455,0.249,0.293,0
0.06,-46.089,4.596,60.982,53.347,243.041,5.589,5441.498,-0.121,0.34,0.146,0.159,0.461,0.267,0.28,0
-0.025,-195.163,1.321,278.904,-64.041,25.593,10.074,5133.091,-0.781,-0.3,-0.523,-0.464,0.481,0.258,0.317,0
-0.054,1.699,3.537,354.293,-128.989,210.256,2.111,5714.769,0.077,0.542,0.432,0.309,0.465,0.355,0.233,1
0.306,-27.68,9.703,42.143,87.157,181.218,3.437,5503.416,-0.007,0.453,0.321,0.241,0.46,0.328,0.248,1
0.223,42.111,1.902,265.733,108.986,182.736,10.333,4998.81,-0.788,-0.307,-0.578,-0.476,0.481,0.21,0.313,0
-0.382,-203.442,2.855,94.304,231.561,206.907,10.993,5173.121,-1.023,-0.507,-0.85,-0.68,0.516,0.173,0.343,0
-0.216,-41.505,1.144,113.275,-34.951,234.862,5.537,6601.061,-0.063,0.391,0.247,0.201,0.454,0.309,0.264,0
-0.341,-64.376,0.863,107.81,305.631,-247.449,7.991,5274.42,-0.512,-0.057,-0.272,-0.22,0.455,0.24,0.292,1
0.133,17.547,0.517,292.949,-196.44,33.436,5.934,4734.234,-0.126,0.323,0.186,0.141,0.449,0.312,0.267,0
0.105,13.927,0.388,290.092,224.027,282.712,10.386,5135.756,-0.629,-0.11,-0.381,-0.276,0.519,0.248,0.352,0
-0.352,41.196,0.557,20.558,-133.011,121.683,5.252,8025.41,-0.017,0.39,0.304,0.192,0.407,0.321,0.21,0
0.493,-33.736,9.506,174.098,19.654,203.052,1.601,6151.071,-0.001,0.467,0.34,0.242,0.468,0.341,0.243,1
-0.433,13.652,9.423,15.716,-19.648,142.773,2.691,6077.006,-0.047,0.412,0.275,0.199,0.458,0.322,0.246,1
-0.094,-1.334,3.888,333.668,-226.381,229.688,3.216,6510.166,0.03,0.487,0.364,0.269,0.457,0.334,0.239,1
0.431,-38.858,7.032,292.231,-48.701,294.445,3.022,6600.044,-0.087,0.366,0.223,0.159,0.453,0.311,0.246,1
-0.296,-84.025,3.251,44.477,-68.526,200.515,8.745,4631.002,-0.522,-0.011,-0.305,-0.177,0.511,0.217,0.345,0
0.362,-3.581,2.321,345.578,-80.979,207.57,5.84,4347.629,-0.174,0.279,0.115,0.1,0.453,0.289,0.274,0
0.259,31.781,8.762,145.089,10.734,208.407,0.629,7909.128,0.092,0.565,0.463,0.323,0.473,0.371,0.231,1
-0.087,-2.629,5.624,161.207,81.441,236.027,1.992,8482.321,0.053,0.522,0.399,0.294,0.469,0.346,0.241,0
0.357,-33.527,0.956,85.488,264.117,48.757,7.975,5215.07,-0.539,-0.057,-0.304,-0.221,0.483,0.236,0.318,0
-0.456,36.492,3.042,323.626,-65.227,226.71,2.725,9465.68,0.078,0.537,0.429,0.308,0.459,0.352,0.23,0
0.399,-29.653,0.403,101.006,-289.125,-146.954,6.271,5129.749,-0.266,0.173,0.014,0.001,0.439,0.28,0.267,0
0.385,-244.055,0.407,282.692,309.028,279.521,8.188,5907.507,-0.533,-0.058,-0.283,-0.222,0.475,0.25,0.311,1
0.132,-30.177,0.363,200.108,-58.511,143.86,4.391,6304.1,0.137,0.585,0.51,0.354,0.448,0.373,0.217,0
0.212,-235.083,0.613,236.131,-218.852,-217.098,10.342,4962.581,-0.724,-0.22,-0.51,-0.388,0.503,0.213,0.335,0
-0.483,89.884,0.674,316.431,-213.387,-232.523,8.725,4937.906,-0.478,-0.005,-0.227,-0.168,0.474,0.251,0.31,0
0.138,-39.996,2.788,199.149,33.627,198.05,0.853,6080.724,0.195,0.653,0.582,0.398,0.458,0.387,0.203,0
-0.042,30.429,0.842,277.029,123.92,17.851,2.215,5758.35,0.146,0.594,0.523,0.347,0.448,0.377,0.201,0
-0.365,165.73,0.297,258.102,62.458,23.335,7.157,4867.999,-0.217,0.193,0.116,0.025,0.41,0.334,0.243,0
